product_id;product_name;discounted_price;actual_price;discount_percentage;rating;rating_count;main_category;sub_category;product_type;savings;price_range;rating_category;review_count;sentiment_mean;pct_positif;pct_negatif;sentiment_label
B09Q8WQ5QJ;Portronics Konnect L 60W PD Type C to Type C Mobile Charging Cable, 1.2M, Fast Data Sync, Tangle Resistant, TPE+Nylon Braided(Grey);249;499;50;4,1;1508;Computers&Accessories;Accessories&Peripherals;USBCables;250;Budget <500;Moyen;8;0,333193333;73,3;13,3;Positif
B07YZG8PPY;TATA SKY HD Connection with 1 month basic package and free installation;1249;2299;46;4,3;7636;Electronics;HomeTheater,TV&Video;SatelliteReceivers;1050;Mid-range 500-2000;Bon;8;0,355116667;66,7;16,7;Positif
B09H39KTTB;Remote Compatible for Samsung LED/LCD Remote Control Works with Samsung LED/LCD TV by Trend Trail;213;499;57;3,7;246;Electronics;HomeTheater,TV&Video;RemoteControls;286;Budget <500;Moyen;8;0,247254545;63,6;27,3;Positif
B08DCVRW98;SoniVision SA-D10 SA-D100 SA-D40 Home Theater Systems Remote Compatible with Sony RM-ANU156;209;499;58;4;479;Electronics;HomeTheater,TV&Video;RemoteControls;290;Budget <500;Moyen;8;0,393872727;90,9;0;Positif
B0718ZN31Q;Rts™ High Speed 3D Full HD 1080p Support (10 Meters) HDMI Male to HDMI Male Cable TV Lead 1.4V for All Hdmi Devices- Black (10M - 30 FEET);598;4999;88;4,2;910;Electronics;HomeTheater,TV&Video;HDMICables;4401;Mid-range 500-2000;Bon;8;0,42466;90;0;Positif
B0162LYSFS;boAt LTG 500 Apple MFI Certified for iPhone, iPad and iPod 2Mtr Data Cable(Metallic Silver);799;1749;54;4,1;5626;Computers&Accessories;Accessories&Peripherals;USBCables;950;Mid-range 500-2000;Moyen;8;0,192744444;55,6;22,2;Positif
B07PFJ5VQD;Agaro Blaze USBA to micro +Type C 2in1 Braided 1.2M Cable;159;595;73;4,3;14184;Computers&Accessories;Accessories&Peripherals;USBCables;436;Budget <500;Bon;8;0,426772727;81,8;9,1;Positif
B01J8S6X2I;AmazonBasics 6 Feet DisplayPort to DisplayPort Cable - (Not HDMI Cable) (Gold);499;1100;55;4,4;25177;Computers&Accessories;Accessories&Peripherals;DVICables;601;Budget <500;Bon;8;0,307115;55;5;Positif
B09MJ77786;MI 108 cm (43 inches) 5X Series 4K Ultra HD LED Smart Android TV L43M6-ES (Grey);31999;49999;36;4,3;21252;Electronics;HomeTheater,TV&Video;SmartTelevisions;18000;Luxe >10000;Bon;8;0,342309091;81,8;9,1;Positif
B09NNGHG22;Sansui 140cm (55 inches) 4K Ultra HD Certified Android LED TV with Dolby Audio & Dolby Vision JSW55ASUHD (Mystique Black);32990;56790;42;4,3;567;Electronics;HomeTheater,TV&Video;SmartTelevisions;23800;Luxe >10000;Bon;8;0,37161875;68,8;0;Positif
